cost_multiplier,agent,action,duration,cost,level,time,phase,phase_name,site_position_time,location,site_depth,hub_height
1.0,WTIV,Mobilize,168.0,1750000.0,ACTION,0.0,MonopileInstallation,,,,,
0.5,Feeder 0,Mobilize,72.0,180000.0,ACTION,0.0,MonopileInstallation,,,,,
0.5,Feeder 1,Mobilize,72.0,180000.0,ACTION,0.0,MonopileInstallation,,,,,
,WTIV,Transit,3.2432432432432434,33783.78378378379,ACTION,3.2432432432432434,MonopileInstallation,,,,,
,Feeder 0,Fasten Monopile,12.0,60000.0,ACTION,12.0,MonopileInstallation,MonopileInstallation,20.0,,,
,Feeder 0,Fasten Transition Piece,8.0,40000.0,ACTION,20.0,MonopileInstallation,MonopileInstallation,20.0,,,
,Feeder 0,Fasten Monopile,12.0,60000.0,ACTION,32.0,MonopileInstallation,MonopileInstallation,20.0,,,
,Feeder 0,Fasten Transition Piece,8.0,40000.0,ACTION,40.0,MonopileInstallation,MonopileInstallation,20.0,,,
,Feeder 0,Fasten Monopile,12.0,60000.0,ACTION,52.0,MonopileInstallation,MonopileInstallation,20.0,,,
,Feeder 0,Fasten Transition Piece,8.0,40000.0,ACTION,60.0,MonopileInstallation,MonopileInstallation,20.0,,,
,Feeder 0,Fasten Monopile,12.0,60000.0,ACTION,72.0,MonopileInstallation,MonopileInstallation,20.0,,,
,Feeder 0,Fasten Transition Piece,8.0,40000.0,ACTION,80.0,MonopileInstallation,MonopileInstallation,20.0,,,
,Feeder 1,Queue,80.0,400000.0,ACTION,80.0,MonopileInstallation,,,,,
,Feeder 0,Transit,3.2432432432432434,16216.216216216217,ACTION,83.24324324324324,MonopileInstallation,,,,,
,Feeder 0,Position Onsite,2.0,10000.0,ACTION,85.24324324324324,MonopileInstallation,,,,,
,Feeder 0,Jackup,1.6666666666666667,8333.333333333334,ACTION,86.90990990990991,MonopileInstallation,MonopileInstallation,20.0,,,
,WTIV,Delay: Not enough vessels for monopiles,83.66666666666667,871527.7777777778,ACTION,86.90990990990991,MonopileInstallation,,,Site,,
,Feeder 1,Fasten Monopile,12.0,60000.0,ACTION,92.0,MonopileInstallation,MonopileInstallation,20.0,,,
,Feeder 1,Fasten Transition Piece,8.0,40000.0,ACTION,100.0,MonopileInstallation,MonopileInstallation,20.0,,,
,WTIV,Position Onsite,20.0,208333.3333333333,ACTION,106.90990990990991,MonopileInstallation,,,,,
,WTIV,Jackup,0.31666666666666665,3298.611111111111,ACTION,107.22657657657658,MonopileInstallation,MonopileInstallation,20.0,,22.5,
,WTIV,RovSurvey,1.0,10416.666666666666,ACTION,108.22657657657658,MonopileInstallation,MonopileInstallation,20.0,,22.5,
,WTIV,Release Monopile,3.0,31250.0,ACTION,111.22657657657658,MonopileInstallation,,,,,
,WTIV,Upend Monopile,0.7230655353278155,7531.932659664744,ACTION,111.9496421119044,MonopileInstallation,MonopileInstallation,20.0,,22.5,
,WTIV,Lower Monopile,0.0032500000000000003,33.854166666666664,ACTION,111.95289211190439,MonopileInstallation,MonopileInstallation,20.0,,22.5,
,Feeder 1,Fasten Monopile,12.0,60000.0,ACTION,112.0,MonopileInstallation,MonopileInstallation,20.0,,,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,112.95289211190439,MonopileInstallation,MonopileInstallation,20.0,,22.5,
,WTIV,Drive Monopile,1.5,15625.0,ACTION,114.45289211190439,MonopileInstallation,MonopileInstallation,20.0,,22.5,
,WTIV,Release Transition Piece,2.0,20833.333333333332,ACTION,116.45289211190439,MonopileInstallation,,,,,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,117.45289211190439,MonopileInstallation,MonopileInstallation,20.0,,22.5,
,WTIV,Lower TP,1.0,10416.666666666666,ACTION,118.45289211190439,MonopileInstallation,MonopileInstallation,20.0,,22.5,
,Feeder 1,Fasten Transition Piece,8.0,40000.0,ACTION,120.0,MonopileInstallation,MonopileInstallation,20.0,,,
,WTIV,Bolt TP,4.0,41666.666666666664,ACTION,122.45289211190439,MonopileInstallation,MonopileInstallation,20.0,,22.5,
,WTIV,Jackdown,0.31666666666666665,3298.611111111111,ACTION,122.76955877857105,MonopileInstallation,MonopileInstallation,20.0,,22.5,
,Feeder 1,Fasten Monopile,12.0,60000.0,ACTION,132.0,MonopileInstallation,MonopileInstallation,20.0,,,
,Feeder 1,Fasten Transition Piece,8.0,40000.0,ACTION,140.0,MonopileInstallation,MonopileInstallation,20.0,,,
,WTIV,Position Onsite,20.0,208333.3333333333,ACTION,142.76955877857105,MonopileInstallation,,,,,
,WTIV,Jackup,0.31666666666666665,3298.611111111111,ACTION,143.08622544523772,MonopileInstallation,MonopileInstallation,20.0,,22.5,
,WTIV,RovSurvey,1.0,10416.666666666666,ACTION,144.08622544523772,MonopileInstallation,MonopileInstallation,20.0,,22.5,
,WTIV,Release Monopile,3.0,31250.0,ACTION,147.08622544523772,MonopileInstallation,,,,,
,WTIV,Upend Monopile,0.7230655353278155,7531.932659664744,ACTION,147.80929098056552,MonopileInstallation,MonopileInstallation,20.0,,22.5,
,WTIV,Lower Monopile,0.0032500000000000003,33.854166666666664,ACTION,147.81254098056553,MonopileInstallation,MonopileInstallation,20.0,,22.5,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,148.81254098056553,MonopileInstallation,MonopileInstallation,20.0,,22.5,
,WTIV,Drive Monopile,1.5,15625.0,ACTION,150.31254098056553,MonopileInstallation,MonopileInstallation,20.0,,22.5,
,Feeder 1,Fasten Monopile,12.0,60000.0,ACTION,152.0,MonopileInstallation,MonopileInstallation,20.0,,,
,WTIV,Release Transition Piece,2.0,20833.333333333332,ACTION,152.31254098056553,MonopileInstallation,,,,,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,153.31254098056553,MonopileInstallation,MonopileInstallation,20.0,,22.5,
,WTIV,Lower TP,1.0,10416.666666666666,ACTION,154.31254098056553,MonopileInstallation,MonopileInstallation,20.0,,22.5,
,WTIV,Bolt TP,4.0,41666.666666666664,ACTION,158.31254098056553,MonopileInstallation,MonopileInstallation,20.0,,22.5,
,WTIV,Jackdown,0.31666666666666665,3298.611111111111,ACTION,158.6292076472322,MonopileInstallation,MonopileInstallation,20.0,,22.5,
,Feeder 1,Fasten Transition Piece,8.0,40000.0,ACTION,160.0,MonopileInstallation,MonopileInstallation,20.0,,,
,Feeder 1,Transit,3.2432432432432434,16216.216216216217,ACTION,163.24324324324326,MonopileInstallation,,,,,
,Feeder 1,Position Onsite,2.0,10000.0,ACTION,165.24324324324326,MonopileInstallation,,,,,
,Feeder 1,Jackup,1.6666666666666667,8333.333333333334,ACTION,166.9099099099099,MonopileInstallation,MonopileInstallation,20.0,,,
,WTIV,Position Onsite,20.0,208333.3333333333,ACTION,178.6292076472322,MonopileInstallation,,,,,
,WTIV,Jackup,0.31666666666666665,3298.611111111111,ACTION,178.94587431389886,MonopileInstallation,MonopileInstallation,20.0,,22.5,
,WTIV,RovSurvey,1.0,10416.666666666666,ACTION,179.94587431389886,MonopileInstallation,MonopileInstallation,20.0,,22.5,
,WTIV,Release Monopile,3.0,31250.0,ACTION,182.94587431389886,MonopileInstallation,,,,,
,WTIV,Delay,1.0,10416.666666666666,ACTION,183.94587431389886,MonopileInstallation,MonopileInstallation,20.0,,22.5,
,WTIV,Upend Monopile,0.7230655353278155,7531.932659664744,ACTION,184.66893984922666,MonopileInstallation,MonopileInstallation,20.0,,22.5,
,WTIV,Delay,3.0,31250.0,ACTION,187.66893984922666,MonopileInstallation,MonopileInstallation,20.0,,22.5,
,WTIV,Lower Monopile,0.0032500000000000003,33.854166666666664,ACTION,187.67218984922667,MonopileInstallation,MonopileInstallation,20.0,,22.5,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,188.67218984922667,MonopileInstallation,MonopileInstallation,20.0,,22.5,
,WTIV,Drive Monopile,1.5,15625.0,ACTION,190.17218984922667,MonopileInstallation,MonopileInstallation,20.0,,22.5,
,WTIV,Release Transition Piece,2.0,20833.333333333332,ACTION,192.17218984922667,MonopileInstallation,,,,,
,WTIV,Crane Reequip,1.0,10416.666666666666,ACTION,193.17218984922667,MonopileInstallation,MonopileInstallation,20.0,,22.5,
,WTIV,Delay,3.0,31250.0,ACTION,196.17218984922667,MonopileInstallation,MonopileInstallation,20.0,,22.5,
,WTIV,Lower TP,1.0,10416.666666666666,ACTION,197.17218984922667,MonopileInstallation,MonopileInstallation,20.0,,22.5,
,WTIV,Delay,23.0,239583.3333333333,ACTION,220.17218984922667,MonopileInstallation,MonopileInstallation,20.0,,22.5,
,WTIV,Bolt TP,4.0,41666.666666666664,ACTION,224.17218984922667,MonopileInstallation,MonopileInstallation,20.0,,22.5,
,WTIV,Jackdown,0.31666666666666665,3298.611111111111,ACTION,224.48885651589333,MonopileInstallation,MonopileInstallation,20.0,,22.5,
,WTIV,Position Onsite,20.0,208333.3333333333,ACTION,244.48885651589333,MonopileInstallation,,,,,
,WTIV,Jackup,0.31666666666666665,3298.611111111111,ACTION,244.80552318256,MonopileInstallation,MonopileInstallation,20.0,,22.5,
,WTIV,RovSurvey,1.0,10416.666666666666,ACTION,245.80552318256,MonopileInstallation,MonopileInstallation,20.0,,22.5,
,WTIV,Release Monopile,3.0,31250.0,ACTION,248.80552318256,MonopileInstallation,,,,,
,WTIV,Upend Monopile,0.7230655353278155,7531.932659664744,ACTION,249.5285887178878,MonopileInstallation,MonopileInstallation,20.0,,22.5,
